"dep","col1","entryName"
"all","com.wlzq.activity.task.biz.impl.HengShengBizImpl.all","com.wlzq.activity.task.service.app.TaskService.dotask"
"calculateGoodsQuantity","com.wlzq.activity.task.biz.TaskBiz.calculateGoodsQuantity","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkBjsPerm","com.wlzq.activity.task.biz.HengShengBiz.checkBjsPerm","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkBjsPerm","com.wlzq.activity.task.biz.impl.HengShengBizImpl.checkBjsPerm","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkBjsPerm","com.wlzq.activity.task.biz.impl.OpenPermTaskBizImpl.checkBjsPerm","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkCouponUsed","com.wlzq.activity.task.biz.impl.ExperienceTaskBizImpl.checkCouponUsed","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkFkybBag","com.wlzq.activity.task.biz.impl.BuyTaskBizImpl.checkFkybBag","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkGgL2FreeCoupon","com.wlzq.activity.task.biz.impl.OpenPermTaskBizImpl.checkGgL2FreeCoupon","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkNewCustomerGift","com.wlzq.activity.task.biz.impl.OtherTaskBizImpl.checkNewCustomerGift","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkOpenAlv2","com.wlzq.activity.task.biz.impl.BuyTaskBizImpl.checkOpenAlv2","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkQiWeiAddResult","com.wlzq.activity.double11.biz.Double11Biz.checkQiWeiAddResult","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkQiWeiAddResult","com.wlzq.activity.double11.biz.impl.Double11BizImpl.checkQiWeiAddResult","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkResult","com.wlzq.activity.task.biz.impl.HengShengBizImpl.checkResult","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkReturnVisit","com.wlzq.activity.task.biz.impl.OtherTaskBizImpl.checkReturnVisit","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkRj","com.wlzq.activity.task.biz.impl.OtherTaskBizImpl.checkRj","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkServiceOrderFor14Days","com.wlzq.activity.task.biz.impl.BuyTaskBizImpl.checkServiceOrderFor14Days","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkServiceOrderForKccp006","com.wlzq.activity.task.biz.impl.BuyTaskBizImpl.checkServiceOrderForKccp006","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkTask","com.wlzq.activity.task.biz.SpecificTaskBiz.checkTask","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkTask","com.wlzq.activity.task.biz.impl.BrowseTaskBizImpl.checkTask","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkTask","com.wlzq.activity.task.biz.impl.BuyTaskBizImpl.checkTask","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkTask","com.wlzq.activity.task.biz.impl.ExperienceTaskBizImpl.checkTask","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkTask","com.wlzq.activity.task.biz.impl.OpenPermTaskBizImpl.checkTask","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkTask","com.wlzq.activity.task.biz.impl.OtherTaskBizImpl.checkTask","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkTaskHasDone","com.wlzq.activity.task.biz.impl.UserTaskBizImpl.checkTaskHasDone","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkTaskIsDone","com.wlzq.activity.task.biz.TaskBiz.checkTaskIsDone","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkVasArticleOrder","com.wlzq.activity.task.biz.impl.ExperienceTaskBizImpl.checkVasArticleOrder","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkVasGoodsSubscribed","com.wlzq.activity.task.biz.impl.ExperienceTaskBizImpl.checkVasGoodsSubscribed","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkXtjjds","com.wlzq.activity.task.biz.impl.BuyTaskBizImpl.checkXtjjds","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkZtzs","com.wlzq.activity.task.biz.impl.BuyTaskBizImpl.checkZtzs","com.wlzq.activity.task.service.app.TaskService.dotask"
"covertParamsToNvps","com.wlzq.activity.base.utils.HttpClientPoolUtils.covertParamsToNvps","com.wlzq.activity.task.service.app.TaskService.dotask"
"doGetSpecificTaskBizMap","com.wlzq.activity.task.biz.impl.UserTaskBizImpl.doGetSpecificTaskBizMap","com.wlzq.activity.task.service.app.TaskService.dotask"
"doTask","com.wlzq.activity.task.biz.TaskBiz.doTask","com.wlzq.activity.task.service.app.TaskService.dotask"
"doUserTask","com.wlzq.activity.task.biz.UserTaskBiz.doUserTask","com.wlzq.activity.task.service.app.TaskService.dotask"
"doUserTask","com.wlzq.activity.task.biz.impl.UserTaskBizImpl.doUserTask","com.wlzq.activity.task.service.app.TaskService.dotask"
"dotask","com.wlzq.activity.task.service.app.TaskService.dotask","com.wlzq.activity.task.service.app.TaskService.dotask"
"findActivity","com.wlzq.activity.base.biz.ActivityBaseBiz.findActivity","com.wlzq.activity.task.service.app.TaskService.dotask"
"findActivityByCode","com.wlzq.activity.base.dao.ActivityDao.findActivityByCode","com.wlzq.activity.task.service.app.TaskService.dotask"
"findByCustomerIdAndTaskNo","com.wlzq.activity.task.dao.ActReturnVisitRecordDao.findByCustomerIdAndTaskNo","com.wlzq.activity.task.service.app.TaskService.dotask"
"findCustomerPrizes","com.wlzq.activity.base.dao.ActPrizeDao.findCustomerPrizes","com.wlzq.activity.task.service.app.TaskService.dotask"
"getActGoodsFlowList","com.wlzq.activity.task.biz.impl.UserTaskBizImpl.getActGoodsFlowList","com.wlzq.activity.task.service.app.TaskService.dotask"
"getActReturnVisitRecordList","com.wlzq.activity.task.biz.impl.OtherTaskBizImpl.getActReturnVisitRecordList","com.wlzq.activity.task.service.app.TaskService.dotask"
"getActTaskMap","com.wlzq.activity.task.biz.Double11TaskPoolBizImpl.getActTaskMap","com.wlzq.activity.task.service.app.TaskService.dotask"
"getActTaskMap","com.wlzq.activity.task.biz.TaskPoolBiz.getActTaskMap","com.wlzq.activity.task.service.app.TaskService.dotask"
"getActTaskMap","com.wlzq.activity.task.redis.TaskRedis$ActTaskMap.getActTaskMap","com.wlzq.activity.task.service.app.TaskService.dotask"
"getActivityCode","com.wlzq.activity.task.dto.ActTaskReqDto.getActivityCode","com.wlzq.activity.task.service.app.TaskService.dotask"
"getActivityCode","com.wlzq.activity.virtualfin.model.ActTask.getActivityCode","com.wlzq.activity.task.service.app.TaskService.dotask"
"getActivityInfo","com.wlzq.activity.task.biz.impl.Task2023FreeLotteryBizImpl.getActivityInfo","com.wlzq.activity.task.service.app.TaskService.dotask"
"getActivityInfo","com.wlzq.activity.task.biz.impl.TaskGgqzdBizImpl.getActivityInfo","com.wlzq.activity.task.service.app.TaskService.dotask"
"getAllHs331300Dto","com.wlzq.activity.task.biz.impl.HengShengBizImpl.getAllHs331300Dto","com.wlzq.activity.task.service.app.TaskService.dotask"
"getAllTotalNum","com.wlzq.activity.virtualfin.model.ActTask.getAllTotalNum","com.wlzq.activity.task.service.app.TaskService.dotask"
"getBizCode","com.wlzq.activity.task.dto.ActTaskReqDto.getBizCode","com.wlzq.activity.task.service.app.TaskService.dotask"
"getBreakerStatus","com.wlzq.activity.base.model.Activity.getBreakerStatus","com.wlzq.activity.task.service.app.TaskService.dotask"
"getBreakerTimeFrom","com.wlzq.activity.base.model.Activity.getBreakerTimeFrom","com.wlzq.activity.task.service.app.TaskService.dotask"
"getBreakerTimeTo","com.wlzq.activity.base.model.Activity.getBreakerTimeTo","com.wlzq.activity.task.service.app.TaskService.dotask"
"getCode","com.wlzq.activity.virtualfin.model.ActTask.getCode","com.wlzq.activity.task.service.app.TaskService.dotask"
"getCrhApiUrl","com.wlzq.activity.double11.biz.impl.Double11BizImpl.getCrhApiUrl","com.wlzq.activity.task.service.app.TaskService.dotask"
"getCustomerId","com.wlzq.activity.double11.model.ActCustomerUnionId.getCustomerId","com.wlzq.activity.task.service.app.TaskService.dotask"
"getCustomerId","com.wlzq.activity.task.dto.ActTaskReqDto.getCustomerId","com.wlzq.activity.task.service.app.TaskService.dotask"
"getCustomerIdAndCheckDoTaskAuth","com.wlzq.activity.task.biz.ITaskBaseBiz.getCustomerIdAndCheckDoTaskAuth","com.wlzq.activity.task.service.app.TaskService.dotask"
"getCustomerIdAndCheckDoTaskAuth","com.wlzq.activity.task.biz.impl.TasKVasPzbLotteryBizImpl.getCustomerIdAndCheckDoTaskAuth","com.wlzq.activity.task.service.app.TaskService.dotask"
"getCustomerIdAndCheckDoTaskAuth","com.wlzq.activity.task.biz.impl.Task2023FreeLotteryBizImpl.getCustomerIdAndCheckDoTaskAuth","com.wlzq.activity.task.service.app.TaskService.dotask"
"getCustomerIdAndCheckDoTaskAuth","com.wlzq.activity.task.biz.impl.TaskGgqzdBizImpl.getCustomerIdAndCheckDoTaskAuth","com.wlzq.activity.task.service.app.TaskService.dotask"
"getCustomerIdVsMobile","com.wlzq.activity.base.dto.ActivityInfoDto.getCustomerIdVsMobile","com.wlzq.activity.task.service.app.TaskService.dotask"
"getCustomerPassword","com.wlzq.activity.task.biz.impl.HengShengBizImpl.getCustomerPassword","com.wlzq.activity.task.service.app.TaskService.dotask"
"getDateFrom","com.wlzq.activity.base.model.Activity.getDateFrom","com.wlzq.activity.task.service.app.TaskService.dotask"
"getDateTo","com.wlzq.activity.base.model.Activity.getDateTo","com.wlzq.activity.task.service.app.TaskService.dotask"
"getDescription","com.wlzq.activity.task.dto.ActTaskReqDto.getDescription","com.wlzq.activity.task.service.app.TaskService.dotask"
"getFinishTime","com.wlzq.activity.task.model.ActReturnVisitRecord.getFinishTime","com.wlzq.activity.task.service.app.TaskService.dotask"
"getGoodsCode","com.wlzq.activity.virtualfin.model.ActTask.getGoodsCode","com.wlzq.activity.task.service.app.TaskService.dotask"
"getGoodsQuantity","com.wlzq.activity.virtualfin.model.ActTask.getGoodsQuantity","com.wlzq.activity.task.service.app.TaskService.dotask"
"getHttpClient","com.wlzq.activity.base.utils.HttpClientPoolUtils.getHttpClient","com.wlzq.activity.task.service.app.TaskService.dotask"
"getInitDate","com.wlzq.activity.task.model.ActNoActBankTransfer.getInitDate","com.wlzq.activity.task.service.app.TaskService.dotask"
"getLatestUnionIdRecord","com.wlzq.activity.task.biz.impl.OpenPermTaskBizImpl.getLatestUnionIdRecord","com.wlzq.activity.task.service.app.TaskService.dotask"
"getMobile","com.wlzq.activity.double11.dto.QrcodeDto.getMobile","com.wlzq.activity.task.service.app.TaskService.dotask"
"getMobile","com.wlzq.activity.task.dto.ActTaskReqDto.getMobile","com.wlzq.activity.task.service.app.TaskService.dotask"
"getName","com.wlzq.activity.virtualfin.model.ActTask.getName","com.wlzq.activity.task.service.app.TaskService.dotask"
"getOccurBalance","com.wlzq.activity.task.model.ActNoActBankTransfer.getOccurBalance","com.wlzq.activity.task.service.app.TaskService.dotask"
"getOpStation","com.wlzq.activity.task.biz.impl.HengShengBizImpl.getOpStation","com.wlzq.activity.task.service.app.TaskService.dotask"
"getQrcode","com.wlzq.activity.double11.biz.Double11Biz.getQrcode","com.wlzq.activity.task.service.app.TaskService.dotask"
"getQrcode","com.wlzq.activity.double11.biz.impl.Double11BizImpl.getQrcode","com.wlzq.activity.task.service.app.TaskService.dotask"
"getRedeemCode","com.wlzq.activity.base.model.ActPrize.getRedeemCode","com.wlzq.activity.task.service.app.TaskService.dotask"
"getResult","com.wlzq.activity.base.utils.HttpClientPoolUtils.getResult","com.wlzq.activity.task.service.app.TaskService.dotask"
"getSecondsFromTimeStr","com.wlzq.activity.base.biz.ActivityBaseBiz.getSecondsFromTimeStr","com.wlzq.activity.task.service.app.TaskService.dotask"
"getServiceOrder","com.wlzq.activity.task.biz.SpecificTaskBiz.getServiceOrder","com.wlzq.activity.task.service.app.TaskService.dotask"
"getSpecificTaskBiz","com.wlzq.activity.task.biz.impl.UserTaskBizImpl.getSpecificTaskBiz","com.wlzq.activity.task.service.app.TaskService.dotask"
"getSpecificTaskBizMap","com.wlzq.activity.task.biz.impl.UserTaskBizImpl.getSpecificTaskBizMap","com.wlzq.activity.task.service.app.TaskService.dotask"
"getStatus","com.wlzq.activity.base.model.Activity.getStatus","com.wlzq.activity.task.service.app.TaskService.dotask"
"getTaskBizImplByActivityCode","com.wlzq.activity.base.biz.ActivityBiz.getTaskBizImplByActivityCode","com.wlzq.activity.task.service.app.TaskService.dotask"
"getTaskCode","com.wlzq.activity.task.dto.ActTaskReqDto.getTaskCode","com.wlzq.activity.task.service.app.TaskService.dotask"
"getTaskCodes","com.wlzq.activity.task.redis.UserTaskRedis$UserTask.getTaskCodes","com.wlzq.activity.task.service.app.TaskService.dotask"
"getTaskType","com.wlzq.activity.virtualfin.model.ActTask.getTaskType","com.wlzq.activity.task.service.app.TaskService.dotask"
"getTimeFrom","com.wlzq.activity.base.model.Activity.getTimeFrom","com.wlzq.activity.task.service.app.TaskService.dotask"
"getTimeTo","com.wlzq.activity.base.model.Activity.getTimeTo","com.wlzq.activity.task.service.app.TaskService.dotask"
"getTodayActGoodsFlowList","com.wlzq.activity.task.biz.impl.UserTaskBizImpl.getTodayActGoodsFlowList","com.wlzq.activity.task.service.app.TaskService.dotask"
"getTotalNum","com.wlzq.activity.virtualfin.model.ActTask.getTotalNum","com.wlzq.activity.task.service.app.TaskService.dotask"
"getUnionId","com.wlzq.activity.double11.model.ActCustomerUnionId.getUnionId","com.wlzq.activity.task.service.app.TaskService.dotask"
"getUpdateTime","com.wlzq.activity.base.model.ActPrize.getUpdateTime","com.wlzq.activity.task.service.app.TaskService.dotask"
"getUserId","com.wlzq.activity.task.dto.ActTaskReqDto.getUserId","com.wlzq.activity.task.service.app.TaskService.dotask"
"getVasOrder","com.wlzq.activity.task.biz.SpecificTaskBiz.getVasOrder","com.wlzq.activity.task.service.app.TaskService.dotask"
"getVasOrderByCouponCode","com.wlzq.activity.task.biz.SpecificTaskBiz.getVasOrderByCouponCode","com.wlzq.activity.task.service.app.TaskService.dotask"
"haveBjsPerm","com.wlzq.activity.task.biz.impl.HengShengBizImpl.haveBjsPerm","com.wlzq.activity.task.service.app.TaskService.dotask"
"httpGetRequest","com.wlzq.activity.base.utils.HttpClientPoolUtils.httpGetRequest","com.wlzq.activity.task.service.app.TaskService.dotask"
"init","com.wlzq.activity.base.utils.HttpClientPoolUtils.init","com.wlzq.activity.task.service.app.TaskService.dotask"
"isActivityTime","com.wlzq.activity.base.biz.ActivityBaseBiz.isActivityTime","com.wlzq.activity.task.service.app.TaskService.dotask"
"isBreakerTime","com.wlzq.activity.base.biz.ActivityBaseBiz.isBreakerTime","com.wlzq.activity.task.service.app.TaskService.dotask"
"isValid","com.wlzq.activity.base.biz.ActivityBaseBiz.isValid","com.wlzq.activity.task.service.app.TaskService.dotask"
"isValid","com.wlzq.activity.base.biz.ActivityBaseBiz.isValid","com.wlzq.activity.task.service.app.TaskService.dotask"
"list","com.wlzq.activity.virtualfin.dao.ActGoodsFlowDao.list","com.wlzq.activity.task.service.app.TaskService.dotask"
"setActTaskMap","com.wlzq.activity.task.redis.TaskRedis$ActTaskMap.setActTaskMap","com.wlzq.activity.task.service.app.TaskService.dotask"
"setActivityCode","com.wlzq.activity.base.dto.ActivityInfoDto.setActivityCode","com.wlzq.activity.task.service.app.TaskService.dotask"
"setActivityCode","com.wlzq.activity.base.model.ActPrize.setActivityCode","com.wlzq.activity.task.service.app.TaskService.dotask"
"setActivityCode","com.wlzq.activity.task.dto.ActTaskReqDto.setActivityCode","com.wlzq.activity.task.service.app.TaskService.dotask"
"setActivityCode","com.wlzq.activity.task.model.ActGoodsRecord.setActivityCode","com.wlzq.activity.task.service.app.TaskService.dotask"
"setActivityCode","com.wlzq.activity.virtualfin.model.ActGoodsFlow.setActivityCode","com.wlzq.activity.task.service.app.TaskService.dotask"
"setActivityCode","com.wlzq.activity.virtualfin.model.ActTask.setActivityCode","com.wlzq.activity.task.service.app.TaskService.dotask"
"setBizCode","com.wlzq.activity.task.dto.ActTaskReqDto.setBizCode","com.wlzq.activity.task.service.app.TaskService.dotask"
"setBizCode","com.wlzq.activity.virtualfin.model.ActGoodsFlow.setBizCode","com.wlzq.activity.task.service.app.TaskService.dotask"
"setClientId","com.wlzq.activity.task.model.ActNoActBankTransfer.setClientId","com.wlzq.activity.task.service.app.TaskService.dotask"
"setCode","com.wlzq.activity.base.model.ActPrize.setCode","com.wlzq.activity.task.service.app.TaskService.dotask"
"setCode","com.wlzq.activity.virtualfin.model.ActTask.setCode","com.wlzq.activity.task.service.app.TaskService.dotask"
"setCodes","com.wlzq.activity.base.model.ActPrize.setCodes","com.wlzq.activity.task.service.app.TaskService.dotask"
"setCreateTime","com.wlzq.activity.task.model.ActGoodsRecord.setCreateTime","com.wlzq.activity.task.service.app.TaskService.dotask"
"setCreateTime","com.wlzq.activity.virtualfin.model.ActGoodsFlow.setCreateTime","com.wlzq.activity.task.service.app.TaskService.dotask"
"setCreateTimeEnd","com.wlzq.activity.virtualfin.model.ActGoodsFlow.setCreateTimeEnd","com.wlzq.activity.task.service.app.TaskService.dotask"
"setCreateTimeStart","com.wlzq.activity.virtualfin.model.ActGoodsFlow.setCreateTimeStart","com.wlzq.activity.task.service.app.TaskService.dotask"
"setCustomerId","com.wlzq.activity.base.model.ActPrize.setCustomerId","com.wlzq.activity.task.service.app.TaskService.dotask"
"setCustomerId","com.wlzq.activity.task.dto.ActTaskReqDto.setCustomerId","com.wlzq.activity.task.service.app.TaskService.dotask"
"setCustomerId","com.wlzq.activity.task.model.ActGoodsRecord.setCustomerId","com.wlzq.activity.task.service.app.TaskService.dotask"
"setCustomerId","com.wlzq.activity.virtualfin.model.ActGoodsFlow.setCustomerId","com.wlzq.activity.task.service.app.TaskService.dotask"
"setCustomerIdVsMobile","com.wlzq.activity.base.dto.ActivityInfoDto.setCustomerIdVsMobile","com.wlzq.activity.task.service.app.TaskService.dotask"
"setDescription","com.wlzq.activity.task.dto.ActTaskReqDto.setDescription","com.wlzq.activity.task.service.app.TaskService.dotask"
"setFlag","com.wlzq.activity.task.model.ActGoodsRecord.setFlag","com.wlzq.activity.task.service.app.TaskService.dotask"
"setFlag","com.wlzq.activity.virtualfin.model.ActGoodsFlow.setFlag","com.wlzq.activity.task.service.app.TaskService.dotask"
"setGoodsCode","com.wlzq.activity.task.model.ActGoodsRecord.setGoodsCode","com.wlzq.activity.task.service.app.TaskService.dotask"
"setGoodsCode","com.wlzq.activity.virtualfin.model.ActGoodsFlow.setGoodsCode","com.wlzq.activity.task.service.app.TaskService.dotask"
"setGoodsQuantity","com.wlzq.activity.task.model.ActGoodsRecord.setGoodsQuantity","com.wlzq.activity.task.service.app.TaskService.dotask"
"setGoodsQuantity","com.wlzq.activity.virtualfin.model.ActGoodsFlow.setGoodsQuantity","com.wlzq.activity.task.service.app.TaskService.dotask"
"setMobile","com.wlzq.activity.base.model.ActPrize.setMobile","com.wlzq.activity.task.service.app.TaskService.dotask"
"setMobile","com.wlzq.activity.double11.dto.QrcodeDto.setMobile","com.wlzq.activity.task.service.app.TaskService.dotask"
"setMobile","com.wlzq.activity.double11.model.ActCustomerUnionId.setMobile","com.wlzq.activity.task.service.app.TaskService.dotask"
"setMobile","com.wlzq.activity.task.dto.ActTaskReqDto.setMobile","com.wlzq.activity.task.service.app.TaskService.dotask"
"setMobile","com.wlzq.activity.task.model.ActGoodsRecord.setMobile","com.wlzq.activity.task.service.app.TaskService.dotask"
"setMobile","com.wlzq.activity.virtualfin.model.ActGoodsFlow.setMobile","com.wlzq.activity.task.service.app.TaskService.dotask"
"setQrCode","com.wlzq.activity.double11.dto.QrcodeDto.setQrCode","com.wlzq.activity.task.service.app.TaskService.dotask"
"setQwUserid","com.wlzq.activity.double11.dto.QrcodeDto.setQwUserid","com.wlzq.activity.task.service.app.TaskService.dotask"
"setRecommendMobile","com.wlzq.activity.virtualfin.model.ActGoodsFlow.setRecommendMobile","com.wlzq.activity.task.service.app.TaskService.dotask"
"setRemark","com.wlzq.activity.task.model.ActGoodsRecord.setRemark","com.wlzq.activity.task.service.app.TaskService.dotask"
"setSource","com.wlzq.activity.virtualfin.model.ActGoodsFlow.setSource","com.wlzq.activity.task.service.app.TaskService.dotask"
"setStatus","com.wlzq.activity.task.dto.ActTaskStatusDto.setStatus","com.wlzq.activity.task.service.app.TaskService.dotask"
"setStatus","com.wlzq.activity.virtualfin.model.ActTask.setStatus","com.wlzq.activity.task.service.app.TaskService.dotask"
"setTaskCode","com.wlzq.activity.task.dto.ActTaskReqDto.setTaskCode","com.wlzq.activity.task.service.app.TaskService.dotask"
"setTaskCode","com.wlzq.activity.virtualfin.model.ActGoodsFlow.setTaskCode","com.wlzq.activity.task.service.app.TaskService.dotask"
"setTaskCodes","com.wlzq.activity.task.redis.UserTaskRedis$UserTask.setTaskCodes","com.wlzq.activity.task.service.app.TaskService.dotask"
"setTimes","com.wlzq.activity.task.dto.ActTaskStatusDto.setTimes","com.wlzq.activity.task.service.app.TaskService.dotask"
"setUpdateTime","com.wlzq.activity.virtualfin.model.ActGoodsFlow.setUpdateTime","com.wlzq.activity.task.service.app.TaskService.dotask"
"setUserId","com.wlzq.activity.base.model.ActPrize.setUserId","com.wlzq.activity.task.service.app.TaskService.dotask"
"setUserId","com.wlzq.activity.task.dto.ActTaskReqDto.setUserId","com.wlzq.activity.task.service.app.TaskService.dotask"
"setUserId","com.wlzq.activity.task.model.ActGoodsRecord.setUserId","com.wlzq.activity.task.service.app.TaskService.dotask"
"setUserId","com.wlzq.activity.virtualfin.model.ActGoodsFlow.setUserId","com.wlzq.activity.task.service.app.TaskService.dotask"
"supportTaskCodes","com.wlzq.activity.task.biz.SpecificTaskBiz.supportTaskCodes","com.wlzq.activity.task.service.app.TaskService.dotask"
"supportTaskCodes","com.wlzq.activity.task.biz.impl.BrowseTaskBizImpl.supportTaskCodes","com.wlzq.activity.task.service.app.TaskService.dotask"
"supportTaskCodes","com.wlzq.activity.task.biz.impl.BuyTaskBizImpl.supportTaskCodes","com.wlzq.activity.task.service.app.TaskService.dotask"
"supportTaskCodes","com.wlzq.activity.task.biz.impl.ExperienceTaskBizImpl.supportTaskCodes","com.wlzq.activity.task.service.app.TaskService.dotask"
"supportTaskCodes","com.wlzq.activity.task.biz.impl.OpenPermTaskBizImpl.supportTaskCodes","com.wlzq.activity.task.service.app.TaskService.dotask"
"supportTaskCodes","com.wlzq.activity.task.biz.impl.OtherTaskBizImpl.supportTaskCodes","com.wlzq.activity.task.service.app.TaskService.dotask"
